institution_name,major_field,degree_level,median_earnings,employment_rate,debt_median
NUS,Psychology,Bachelor's,56655.0,0.83,12646.0
NUS,Philosophy,Master's,58395.0,0.78,22748.0
Columbia,Data Science,Bachelor's,93884.0,0.95,22352.0
Seoul National University,Finance,Master's,110271.0,0.78,21723.0
Oxford,Finance,Master's,101349.0,0.67,34434.0
Harvard,Philosophy,Master's,63958.0,0.83,21890.0
UCLA,Computer Science,Master's,111857.0,0.85,20985.0
University of Melbourne,Philosophy,Bachelor's,52744.0,0.92,18242.0
McGill University,Mathematics,Master's,105064.0,1.0,18745.0
University of Toronto,Economics,Bachelor's,85010.0,0.92,23159.0
NUS,Philosophy,Master's,70100.0,0.96,17394.0
NYU,Political Science,Bachelor's,56069.0,0.71,32566.0
Tsinghua University,Computer Science,Master's,109990.0,0.95,34139.0
ETH Zurich,Architecture,Bachelor's,61524.0,0.76,30422.0
KTH Royal Institute,Economics,Master's,102948.0,0.93,14007.0
Tsinghua University,Architecture,Bachelor's,65927.0,1.0,19349.0
University of Toronto,Engineering,Master's,105649.0,0.78,22955.5
ETH Zurich,Biology,Bachelor's,62707.0,0.66,25222.0
NUS,Engineering,Master's,104362.0,0.9,23401.0
University of Melbourne,Philosophy,Bachelor's,51885.0,0.79,23087.0
Columbia,Engineering,Bachelor's,93177.0,0.75,28323.0
NYU,Finance,Master's,104427.0,0.98,14556.0
UCLA,Philosophy,Master's,76629.0,0.78,21834.0
MIT,Finance,Bachelor's,87647.0,0.76,20993.0
University of Toronto,Data Science,Bachelor's,92354.0,0.97,30558.0
McGill University,Psychology,Master's,61837.0,0.94,28170.0
Columbia,Philosophy,Master's,55750.0,0.91,33819.0
UCLA,Philosophy,Master's,70395.0,0.8,33720.0
Columbia,Mechanical Engg,Bachelor's,82392.0,0.75,19674.0
McGill University,Engineering,Master's,103901.0,0.93,11851.0
UC Berkeley,Architecture,Master's,80433.0,0.92,17498.0
UC Berkeley,Biology,Bachelor's,54531.0,0.71,21048.0
McGill University,Philosophy,Master's,63842.0,0.68,20269.0
NUS,Marketing,Bachelor's,54624.0,0.86,24694.0
UCLA,Commerce,Bachelor's,55943.0,0.82,17101.0
Harvard,Psychology,Bachelor's,49949.0,0.86,13854.0
KTH Royal Institute,Biology,Master's,64129.0,0.67,29173.0
NUS,Philosophy,Bachelor's,54566.0,0.84,11824.0
MIT,Economics,Master's,90298.0,0.99,19967.0
Columbia,Political Science,Bachelor's,52227.0,0.69,16206.0
UC Berkeley,Marketing,Master's,62252.0,0.86,12251.0
University of Toronto,Political Science,Master's,61055.0,0.85,23417.0
NYU,Commerce,Bachelor's,58391.0,0.81,11838.0
University of Melbourne,Mechanical Engg,Master's,90058.0,0.69,19140.0
UCLA,Fine Arts,Master's,52497.0,0.84,18199.0
KTH Royal Institute,Data Science,Bachelor's,93724.0,0.85,21872.0
Stanford University,Data Science,Master's,115860.0,0.94,18483.0
ETH Zurich,Psychology,Bachelor's,53341.0,0.9,10789.0
NYU,Fine Arts,Bachelor's,42335.0,0.85,28185.0
UCLA,Political Science,Bachelor's,53645.0,0.9,26896.0
LSE,Philosophy,Master's,57248.0,0.825,27624.0
Yale,Mechanical Engg,Master's,92604.0,0.88,18628.0
UCLA,Psychology,Bachelor's,51400.0,0.75,33325.0
LSE,Economics,Bachelor's,82717.0,0.86,27933.0
NYU,Philosophy,Bachelor's,58882.0,0.84,34097.0
Yale,Psychology,Bachelor's,52365.0,0.94,32056.0
UC Berkeley,Architecture,Bachelor's,67413.0,0.83,24433.0
Seoul National University,Philosophy,Bachelor's,51413.0,0.86,16820.0
NYU,Data Science,Bachelor's,83059.0,0.78,25273.0
University of Toronto,Marketing,Master's,62532.0,0.71,15888.0
LSE,Data Science,Master's,107815.0,0.74,27151.0
Oxford,Biology,Bachelor's,54761.0,0.755,19340.0
McGill University,Architecture,Master's,77647.0,0.92,23204.0
Columbia,Engineering,Bachelor's,86235.0,0.71,15135.0
Seoul National University,Mechanical Engg,Bachelor's,74111.0,0.82,17704.0
Stanford University,Commerce,Master's,66543.0,0.79,11725.0
ETH Zurich,Computer Science,Master's,116609.0,0.91,31740.0
University of Toronto,Commerce,Bachelor's,61842.0,0.79,28196.0
IIT Bombay,Marketing,Bachelor's,57410.0,0.82,13878.0
University of Delhi,Philosophy,Bachelor's,65234.0,0.84,21161.0
MIT,Fine Arts,Bachelor's,48273.0,0.67,28287.0
Yale,Philosophy,Master's,60212.0,0.82,28380.0
UC Berkeley,Mathematics,Master's,100750.0,0.8,17497.0
UC Berkeley,Finance,Master's,95953.0,0.84,23249.0
University of Toronto,Fine Arts,Master's,57124.0,0.69,26841.0
KTH Royal Institute,Computer Science,Bachelor's,91059.0,0.84,10383.0
University of Delhi,Biology,Bachelor's,60269.0,0.93,17076.0
Tsinghua University,Political Science,Master's,65626.0,0.97,15078.0
Yale,Commerce,Bachelor's,57129.0,0.82,18246.0
University of Toronto,Philosophy,Bachelor's,47573.0,0.98,14205.0
Columbia,Economics,Bachelor's,80674.0,0.91,23618.0
Harvard,Marketing,Bachelor's,52045.0,0.855,25445.0
KTH Royal Institute,Architecture,PhD,64901.0,0.66,22555.0
NUS,Finance,Bachelor's,79762.0,0.86,19326.0
University of Toronto,Mechanical Engg,Bachelor's,85565.0,0.91,19481.0
McGill University,Mechanical Engg,Bachelor's,85525.0,0.91,32369.0
MIT,Fine Arts,Bachelor's,42939.0,0.82,26452.0
UC Berkeley,Philosophy,Master's,75848.0,0.98,24167.0
University of Toronto,Mathematics,Master's,101504.0,0.68,15803.0
Harvard,Data Science,Master's,115617.0,0.83,14643.0
Seoul National University,Mathematics,Master's,101894.0,0.68,28491.0
Yale,Data Science,Bachelor's,96808.0,0.69,22811.0
NYU,Computer Science,Bachelor's,86839.0,0.8,32528.0
IIT Bombay,Philosophy,Bachelor's,47684.0,0.71,29566.0
Columbia,Psychology,Bachelor's,51561.0,0.83,19497.0
Yale,Mechanical Engg,Master's,97510.0,0.77,14440.0
University of Toronto,Data Science,Master's,115588.0,0.78,33301.0
University of Delhi,Philosophy,Bachelor's,49616.0,0.93,30474.0
NUS,Mathematics,Master's,92727.0,0.82,24556.0
McGill University,Political Science,Master's,70350.0,0.86,26440.0
Columbia,Economics,Bachelor's,87468.0,0.78,15550.0
University of Melbourne,Political Science,Bachelor's,55974.0,0.85,22525.5
NYU,Psychology,Master's,64793.0,0.79,18707.0
NYU,Mechanical Engg,Master's,89841.0,0.99,34597.0
IIT Bombay,Political Science,Bachelor's,54582.0,0.97,19889.0
KTH Royal Institute,Architecture,Bachelor's,61908.0,0.74,24433.0
McGill University,Economics,Master's,101802.0,0.86,24675.0
Columbia,Data Science,Master's,106672.0,0.9,17634.0
UC Berkeley,Data Science,Bachelor's,89860.0,0.72,34997.0
McGill University,Economics,Master's,97910.0,1.0,19598.0
McGill University,Political Science,Master's,65382.0,0.72,10817.0
IIT Bombay,Political Science,Master's,68925.0,0.87,30582.0
Columbia,Political Science,Bachelor's,54176.0,0.94,10805.0
LSE,Data Science,Bachelor's,87159.0,0.97,25819.0
UC Berkeley,Philosophy,Bachelor's,50700.0,0.86,17315.0
Seoul National University,Psychology,Bachelor's,47416.0,0.76,13656.0
Yale,Marketing,Bachelor's,55851.0,0.76,32003.0
Harvard,Commerce,Master's,71856.0,0.88,34303.0
Columbia,Marketing,Bachelor's,58573.0,0.85,13264.0
ETH Zurich,Finance,Master's,104145.0,0.98,21412.0
NUS,Fine Arts,Bachelor's,48389.0,0.69,26222.0
MIT,Commerce,Master's,67094.0,0.69,22986.0
Tsinghua University,Computer Science,Bachelor's,88601.0,0.7,12560.0
Yale,Data Science,Master's,103649.0,0.84,18483.0
UC Berkeley,Mechanical Engg,Master's,94587.0,0.92,28811.0
Seoul National University,Biology,Master's,66674.0,0.91,17123.0
Stanford University,Marketing,Master's,64809.0,0.91,19647.0
IIT Bombay,Mechanical Engg,Bachelor's,86942.0,0.7,27073.0
ETH Zurich,Philosophy,Bachelor's,54477.0,0.67,22526.0
NUS,Commerce,Master's,69329.0,0.77,23409.0
University of Toronto,Philosophy,Bachelor's,47386.0,0.75,11375.0
UC Berkeley,Engineering,Bachelor's,92701.0,0.86,13173.0
LSE,Biology,PhD,55864.0,0.68,21379.0
Columbia,Computer Science,Master's,112919.0,0.9,10064.0
Stanford University,Fine Arts,Bachelor's,48880.0,0.99,20484.0
Yale,Fine Arts,Master's,54643.0,0.7,22894.0
MIT,Commerce,Bachelor's,57728.0,0.68,29612.0
KTH Royal Institute,Fine Arts,Master's,56482.0,0.94,33309.0
Stanford University,Fine Arts,Master's,53967.0,0.78,17687.0
University of Delhi,Political Science,Bachelor's,51066.0,0.76,20326.0
Columbia,Mechanical Engg,Bachelor's,78309.0,0.89,17291.0
Yale,Architecture,Master's,71572.0,0.68,13885.0
UC Berkeley,Mechanical Engg,Master's,100325.0,0.83,30189.0
Oxford,Marketing,Bachelor's,57322.0,0.855,30502.0
UC Berkeley,Computer Science,Master's,100705.0,0.69,29523.0
IIT Bombay,Economics,Bachelor's,82314.0,0.88,23618.0
Harvard,Fine Arts,Master's,56779.0,0.7,20828.0
University of Toronto,Mechanical Engg,Bachelor's,86532.0,0.76,25424.0
Oxford,Mechanical Engg,Master's,94128.0,0.82,34852.0
McGill University,Finance,Bachelor's,85756.0,0.84,14495.0
Yale,Philosophy,Bachelor's,63703.0,0.84,13990.0
IIT Bombay,Mathematics,Bachelor's,74716.0,0.92,18870.0
UC Berkeley,Economics,Bachelor's,86623.0,0.66,24077.0
University of Delhi,Marketing,Master's,61117.0,0.89,25353.0
UCLA,Data Science,Bachelor's,83203.0,0.88,31516.0
Harvard,Data Science,Master's,119155.0,0.94,17932.0
McGill University,Biology,Master's,67359.0,0.93,33717.0
University of Toronto,Marketing,Bachelor's,56225.0,0.91,11945.0
Columbia,Data Science,Bachelor's,95128.0,0.94,22581.5
University of Delhi,Fine Arts,Bachelor's,40933.0,0.83,32044.0
Columbia,Political Science,Master's,67660.0,0.92,17372.0
Yale,Psychology,Bachelor's,54412.0,0.87,25341.0
ETH Zurich,Biology,Bachelor's,57236.0,0.67,23852.0
McGill University,Psychology,Master's,62916.0,0.85,22720.5
Harvard,Psychology,PhD,50704.0,0.68,22227.0
LSE,Engineering,Master's,101078.0,0.76,11540.0
NYU,Engineering,Master's,97367.0,0.67,27176.0
ETH Zurich,Philosophy,Bachelor's,52143.0,0.85,25506.0
NYU,Finance,Master's,107243.0,0.7,34931.0
UCLA,Marketing,Master's,61457.0,0.87,32929.0
Stanford University,Finance,Master's,103405.0,0.855,29643.0
McGill University,Architecture,Master's,75293.0,0.84,27020.0
University of Toronto,Computer Science,Master's,112423.0,0.9,18708.0
Oxford,Psychology,Master's,67313.0,0.74,18021.0
NUS,Philosophy,Bachelor's,52409.0,0.95,13974.0
Oxford,Biology,Master's,64135.0,0.73,21411.0
Columbia,Biology,Bachelor's,59570.0,0.7,14439.0
ETH Zurich,Philosophy,Master's,63308.0,0.69,29495.0
University of Delhi,Marketing,Bachelor's,54004.0,0.66,24694.0
UCLA,Mathematics,PhD,105210.0,0.77,19411.0
Columbia,Mechanical Engg,Master's,97977.0,0.84,30984.0
McGill University,Mathematics,Master's,106409.0,0.91,32309.0
Oxford,Fine Arts,Bachelor's,48215.0,0.97,10636.0
ETH Zurich,Psychology,Master's,63263.0,0.825,27157.0
ETH Zurich,Architecture,Master's,79068.0,0.72,30208.0
UC Berkeley,Mathematics,Master's,104491.0,0.82,21594.0
NYU,Mechanical Engg,Bachelor's,73139.0,0.79,17458.0
MIT,Marketing,Bachelor's,55763.0,0.855,29473.0
ETH Zurich,Data Science,Bachelor's,86652.0,0.96,29493.0
UCLA,Philosophy,Master's,58833.0,0.67,23267.0
Yale,Philosophy,PhD,56145.0,1.0,17652.0
Harvard,Marketing,Bachelor's,56060.0,0.79,32534.0
Columbia,Finance,Bachelor's,76825.0,0.74,21015.0
University of Melbourne,Economics,Bachelor's,86024.0,0.75,26549.0
Stanford University,Computer Science,Bachelor's,89539.0,0.71,26541.0
University of Melbourne,Psychology,Bachelor's,53224.0,0.76,29448.0
University of Melbourne,Fine Arts,Master's,53967.0,0.73,23298.0
Harvard,Architecture,Bachelor's,56917.0,0.85,15779.0
Oxford,Psychology,Master's,66063.0,0.79,31281.0
MIT,Computer Science,Bachelor's,88878.0,0.9,14571.0
University of Toronto,Commerce,Master's,75598.0,0.91,11466.0
UC Berkeley,Engineering,Master's,100948.0,0.89,31998.0
UCLA,Mechanical Engg,Master's,92185.0,0.78,24416.0
Seoul National University,Fine Arts,Master's,53395.0,0.94,13716.0
McGill University,Philosophy,Bachelor's,59631.0,0.85,18272.0
LSE,Computer Science,Bachelor's,82418.0,0.83,17901.0
ETH Zurich,Biology,Bachelor's,52201.0,0.69,22708.0
University of Delhi,Mathematics,Master's,93855.0,0.83,26429.0
Tsinghua University,Engineering,Bachelor's,90608.0,0.78,11144.0
UC Berkeley,Mechanical Engg,Bachelor's,76068.0,0.73,30613.0
University of Delhi,Biology,Master's,73514.0,0.89,33904.0
UCLA,Mechanical Engg,Bachelor's,85421.0,0.84,24463.0
UCLA,Engineering,Master's,108483.0,0.82,19946.0
Yale,Psychology,Master's,66418.0,0.85,28420.0
McGill University,Mathematics,Bachelor's,79462.0,0.92,22597.0
Yale,Biology,Bachelor's,63135.0,0.93,31936.0
NUS,Finance,PhD,102182.0,0.73,16264.0
MIT,Biology,Master's,69050.0,0.9,26177.0
University of Toronto,Fine Arts,Master's,53249.0,0.97,28591.0
University of Delhi,Philosophy,Master's,61476.0,0.95,34107.0
Oxford,Mechanical Engg,Bachelor's,83761.0,0.7,14023.0
LSE,Computer Science,Master's,115715.0,0.89,17528.0
Seoul National University,Political Science,Master's,71026.0,0.86,20085.0
Columbia,Fine Arts,Bachelor's,49052.0,0.9,26232.0
NYU,Mathematics,Master's,100386.0,0.79,33624.0
University of Toronto,Philosophy,Master's,72171.0,0.85,18007.0
Harvard,Engineering,Bachelor's,87157.0,0.73,30891.0
University of Delhi,Political Science,Master's,62191.0,0.83,29855.0
McGill University,Engineering,Bachelor's,83375.0,0.78,20330.0
KTH Royal Institute,Engineering,Bachelor's,78304.0,0.96,20941.0
University of Toronto,Marketing,Bachelor's,53800.0,0.97,26932.0
Columbia,Computer Science,PhD,101006.0,0.94,18596.0
NUS,Architecture,Bachelor's,58209.0,0.72,33309.0
McGill University,Mechanical Engg,Bachelor's,83609.0,0.84,12501.0
KTH Royal Institute,Engineering,Bachelor's,81696.0,0.88,20707.0
Stanford University,Data Science,Bachelor's,87890.0,0.79,21133.0
Oxford,Mechanical Engg,Bachelor's,85739.0,0.71,11911.0
Harvard,Architecture,Bachelor's,62978.0,0.96,24433.0
LSE,Political Science,Master's,70305.0,0.89,12263.0
Columbia,Political Science,Bachelor's,56254.0,0.72,33717.0
UCLA,Biology,Master's,66488.0,0.76,29786.0
University of Toronto,Mechanical Engg,Master's,89651.0,0.84,24465.0
Seoul National University,Economics,Master's,101367.0,0.86,18822.0
Columbia,Mechanical Engg,PhD,85115.0,0.74,13933.0
KTH Royal Institute,Biology,Bachelor's,53514.0,0.92,20272.0
IIT Bombay,Computer Science,Bachelor's,81705.0,0.88,33955.0
KTH Royal Institute,Philosophy,Bachelor's,54472.0,0.74,15484.0
NUS,Philosophy,Bachelor's,51596.0,0.76,24764.0
IIT Bombay,Commerce,PhD,80736.0,0.92,32540.0
KTH Royal Institute,Computer Science,Bachelor's,90707.0,0.65,20517.0
MIT,Biology,Master's,68222.0,0.89,12442.0
UCLA,Psychology,Master's,63422.0,0.87,22720.5
Stanford University,Philosophy,Bachelor's,53042.0,0.81,16532.0
McGill University,Commerce,Master's,68444.0,0.87,22094.0
Oxford,Philosophy,Master's,63638.0,0.7,12506.0
University of Melbourne,Commerce,Master's,66624.0,0.81,21791.0
KTH Royal Institute,Commerce,Bachelor's,54453.0,0.8,27790.0
KTH Royal Institute,Computer Science,Bachelor's,92823.0,0.97,20271.0
KTH Royal Institute,Political Science,Bachelor's,56705.0,0.9,26741.0
University of Toronto,Philosophy,Bachelor's,45901.0,0.76,34082.0
LSE,Fine Arts,Bachelor's,45865.0,0.72,18499.0
NYU,Finance,Master's,105301.0,0.855,34030.0
Tsinghua University,Mathematics,Master's,94428.0,0.8,30004.0
NUS,Data Science,Bachelor's,90140.0,0.95,17846.0
University of Delhi,Architecture,Master's,70558.0,0.94,15730.0
IIT Bombay,Marketing,Master's,67933.0,0.92,11056.0
ETH Zurich,Data Science,Master's,117185.0,0.85,15552.0
Seoul National University,Economics,Bachelor's,72521.0,0.79,13009.0
University of Melbourne,Mechanical Engg,PhD,91888.0,0.78,15928.0
ETH Zurich,Philosophy,Master's,62007.0,0.8,13278.0
Seoul National University,Mathematics,Bachelor's,82907.0,0.99,21824.0
Stanford University,Economics,Master's,96272.0,0.94,24195.0
University of Toronto,Engineering,Bachelor's,87207.0,0.83,33296.0
LSE,Data Science,Bachelor's,93942.0,0.88,17115.0
Yale,Mathematics,Master's,100264.0,0.84,33214.0
NUS,Mathematics,Master's,93942.0,0.78,16781.0
Tsinghua University,Finance,Master's,96344.0,0.99,28596.0
Harvard,Fine Arts,Bachelor's,44758.0,0.67,12598.0
KTH Royal Institute,Economics,Bachelor's,75958.0,0.76,10714.0
Columbia,Marketing,Master's,70783.0,0.87,24770.0
Tsinghua University,Mathematics,Master's,95893.0,0.87,16495.0
Oxford,Computer Science,Bachelor's,86161.0,0.86,17490.0
NUS,Finance,Master's,96705.0,1.0,26149.0
University of Toronto,Fine Arts,Master's,56699.0,0.9,23298.0
LSE,Commerce,Bachelor's,61642.0,0.9,10484.0
MIT,Political Science,Bachelor's,57367.0,0.94,18547.0
Oxford,Finance,Master's,99114.0,0.99,11784.0
ETH Zurich,Economics,Bachelor's,72201.0,0.85,16179.0
MIT,Fine Arts,Master's,51376.0,0.81,28205.0
McGill University,Political Science,Bachelor's,59262.0,1.0,18112.0
UC Berkeley,Finance,Master's,109970.0,0.88,29269.0
IIT Bombay,Economics,Master's,103951.0,0.9,29786.0
UCLA,Mechanical Engg,Bachelor's,77557.0,0.79,20113.0
University of Toronto,Data Science,Bachelor's,93086.0,0.87,18092.0
Tsinghua University,Psychology,Bachelor's,49538.0,0.83,14638.0
Stanford University,Philosophy,Master's,61582.0,0.87,23786.0
KTH Royal Institute,Psychology,Master's,64052.0,0.67,12676.0
University of Delhi,Engineering,Bachelor's,85438.0,0.93,11771.0
University of Delhi,Mathematics,Master's,100678.0,0.79,29856.0
MIT,Marketing,Master's,61357.0,0.74,19633.0
University of Delhi,Political Science,Bachelor's,55639.0,0.95,27563.0
NUS,Architecture,Bachelor's,59985.0,0.71,17878.0
Yale,Marketing,Master's,64057.0,0.75,28614.0
Columbia,Mechanical Engg,PhD,77655.0,0.66,14930.5
IIT Bombay,Philosophy,Master's,69311.0,0.87,10943.0
Columbia,Economics,Bachelor's,76099.0,0.77,11930.0
Yale,Finance,Master's,103295.0,0.855,24407.0
Harvard,Finance,Bachelor's,83883.0,0.81,31236.0
Stanford University,Mathematics,Master's,99464.0,0.78,34934.0
Tsinghua University,Finance,Bachelor's,78747.0,0.68,12126.0
University of Melbourne,Commerce,Bachelor's,58743.0,0.88,16057.0
LSE,Finance,Master's,104919.0,0.82,10605.0
Oxford,Economics,Master's,90333.0,0.67,28943.0
Harvard,Engineering,Bachelor's,90651.0,0.77,21779.0
Yale,Fine Arts,Bachelor's,44847.0,0.94,22321.5
Seoul National University,Architecture,Bachelor's,64436.0,0.76,26509.0
Columbia,Philosophy,Bachelor's,56774.0,0.8,31669.0
McGill University,Engineering,Bachelor's,88611.0,0.67,28609.0
Stanford University,Data Science,Master's,119206.0,0.76,34998.0
Stanford University,Political Science,Master's,62009.0,0.94,27163.0
NUS,Fine Arts,Bachelor's,44542.0,0.7,15057.0
UCLA,Psychology,Bachelor's,53624.0,0.88,27986.0
UC Berkeley,Data Science,Bachelor's,90418.0,0.81,33331.0
LSE,Economics,Bachelor's,81791.0,0.76,27184.0
Columbia,Engineering,Master's,104542.0,0.72,15656.0
NUS,Finance,Bachelor's,87912.0,0.73,20982.0
KTH Royal Institute,Mechanical Engg,Master's,100419.0,0.89,33478.0
Seoul National University,Philosophy,Bachelor's,45424.0,0.84,23942.0
University of Melbourne,Finance,Bachelor's,89652.0,0.76,27248.0
UCLA,Mechanical Engg,Master's,97367.0,0.84,10622.0
Tsinghua University,Philosophy,Bachelor's,51485.0,0.93,27655.0
Columbia,Engineering,Master's,96218.0,0.87,31782.0
UCLA,Economics,Bachelor's,76952.0,0.96,13289.0
University of Delhi,Philosophy,Master's,75689.0,0.89,21343.0
Tsinghua University,Engineering,Bachelor's,85978.0,0.98,10918.0
MIT,Mathematics,Master's,106497.0,0.71,24307.0
McGill University,Economics,Master's,100296.0,0.78,31082.0
Harvard,Psychology,Master's,62681.0,0.86,28243.0
University of Melbourne,Engineering,Master's,105515.0,0.82,25581.0
UCLA,Philosophy,Master's,56799.0,0.89,23267.0
Stanford University,Mechanical Engg,Bachelor's,78634.0,0.67,26015.0
Oxford,Psychology,Bachelor's,46863.0,0.92,10727.0
UC Berkeley,Fine Arts,Master's,53770.0,0.66,31630.0
Yale,Mechanical Engg,Master's,97039.0,0.92,24465.0
Seoul National University,Mathematics,Master's,106101.0,0.76,31060.0
Seoul National University,Philosophy,Master's,58082.0,0.99,31926.0
Columbia,Mechanical Engg,Master's,100559.0,0.96,24465.0
ETH Zurich,Architecture,Bachelor's,62292.0,0.96,33450.0
UCLA,Fine Arts,Bachelor's,40536.0,0.82,21671.0
MIT,Philosophy,Master's,68518.0,0.73,26778.0
LSE,Economics,PhD,88674.0,0.73,27608.0
Oxford,Philosophy,Bachelor's,50405.0,0.67,19589.0
Harvard,Commerce,Master's,76034.0,0.93,27822.0
McGill University,Engineering,Master's,105376.0,0.69,21763.0
IIT Bombay,Economics,Master's,98642.0,0.97,21883.0
Columbia,Mechanical Engg,Master's,97194.0,0.85,23903.0
Harvard,Finance,Master's,104054.0,0.87,30347.0
Seoul National University,Commerce,Master's,68077.0,0.92,12858.0
KTH Royal Institute,Mechanical Engg,Master's,103294.0,0.68,19472.0
ETH Zurich,Mathematics,Bachelor's,88613.0,0.92,23281.0
University of Toronto,Philosophy,Master's,60702.0,0.825,34564.0
Columbia,Engineering,Bachelor's,90992.0,0.67,20330.0
McGill University,Marketing,Master's,65248.0,0.89,20879.0
University of Delhi,Mathematics,Bachelor's,88961.0,0.99,13356.0
Harvard,Mathematics,Bachelor's,89789.0,0.7,32339.0
KTH Royal Institute,Architecture,Master's,78368.0,0.8,18211.0
ETH Zurich,Marketing,Bachelor's,55839.0,0.66,24506.0
Harvard,Economics,Master's,89415.0,0.84,25842.0
Seoul National University,Psychology,Bachelor's,53572.0,0.83,18822.0
Oxford,Philosophy,Bachelor's,62723.0,0.88,11290.0
Oxford,Finance,Bachelor's,90974.0,0.76,10355.0
NYU,Philosophy,Bachelor's,48697.0,0.72,23184.0
MIT,Data Science,Bachelor's,98212.0,0.95,28149.0
UC Berkeley,Fine Arts,Master's,49972.0,0.84,33061.0
IIT Bombay,Commerce,Master's,66142.0,0.86,27071.0
MIT,Engineering,Master's,108092.0,0.78,19778.0
IIT Bombay,Biology,Bachelor's,55833.0,0.755,23131.0
Tsinghua University,Data Science,Bachelor's,94196.0,0.67,24984.0
NYU,Biology,Bachelor's,61060.0,0.91,14606.0
Oxford,Mechanical Engg,Bachelor's,78831.0,0.79,11849.0
MIT,Commerce,Master's,69175.0,0.83,14461.0
ETH Zurich,Engineering,Bachelor's,78306.0,0.83,20330.0
Harvard,Philosophy,PhD,59585.0,0.65,18245.0
University of Toronto,Philosophy,Bachelor's,49360.0,0.99,10082.0
ETH Zurich,Engineering,Master's,110449.0,0.91,31029.0
Oxford,Mathematics,Bachelor's,76932.0,0.93,12121.0
Tsinghua University,Biology,Bachelor's,59078.0,0.85,23348.0
Tsinghua University,Computer Science,Bachelor's,88299.0,0.73,31755.0
McGill University,Economics,Bachelor's,82461.0,0.84,13263.0
